X1,X2,X3,X4
-2.096,2.15,1.849,0.2554
-0.2527,-0.6064,0.8193,-0.10736
0.3489,-0.5947,-1.295,-0.10614
1.518,0.791,0.606,-0.05475
-0.5635,-0.4373,0.327,-0.1078
-0.8667,-0.2211,0.616,-0.1074
-0.547,-0.533,0.5923,-0.10803
0.931,-0.08826,0.7886,-0.10236
0.3196,-0.6147,-1.243,-0.1062
-0.5757,-0.352,0.2443,-0.10767
0.5117,-0.4058,0.4648,-0.1058
0.07776,-0.627,-0.4546,-0.1066
0.987,0.09064,0.971,-0.09827
-0.7554,-0.2888,0.737,-0.10767
-0.365,-0.6035,-0.1276,-0.1075
-0.4321,-0.448,0.5337,-0.1076
-1.55,0.872,1.422,-0.052
0.2854,-0.6265,-1.15,-0.1062
0.2485,-0.596,-0.8193,-0.1064
-0.01819,-0.6787,-0.372,-0.1069
-0.268,-0.667,-1.756,-0.10736
-1.499,0.7964,1.216,-0.06024
-0.462,-0.4124,-0.613,-0.1075
-0.3809,-0.6245,-1.006,-0.1076
-0.86,-0.1597,1.153,-0.1068
-0.1917,-0.649,-0.978,-0.1072
0.398,-0.546,-0.7197,-0.10614
1.942,1.791,0.04807,0.1388
0.1584,-0.6567,-0.616,-0.10657
0.245,-0.585,-0.4307,-0.10626
-0.10114,-0.6724,0.327,-0.107
-2.023,1.921,0.7886,0.1719
-0.05118,-0.6353,-0.909,-0.1069
0.0393,-0.643,-0.916,-0.1066
2.543,3.506,2.125,1.103
-0.2241,-0.6377,-1.14,-0.10736
0.291,-0.5312,-0.5063,-0.1064
-0.0597,-0.6064,-0.5337,-0.10706
-1.242,0.259,0.888,-0.0973
1.168,0.2732,0.4512,-0.0919
0.7607,-0.2042,0.3062,-0.104
0.8013,-0.2878,0.7437,-0.10455
-0.971,-0.0344,-0.2654,-0.10516
1.438,0.69,1.029,-0.0646
-1.484,0.752,0.4512,-0.06464
0.5884,-0.435,0.4404,-0.1055
2.26,2.584,-0.0656,0.463
-1.057,-0.04047,0.05496,-0.1055
-0.614,-0.4094,-0.06213,-0.10785
0.08044,-0.613,0.1204,-0.10675
-0.5483,-0.505,-0.6646,-0.10785
-1.641,1.06,0.5923,-0.02779
0.04794,-0.716,-0.03802,-0.1066
-1.131,0.1418,-0.3584,-0.10126
0.4705,-0.541,-2.287,-0.1058
-0.982,-0.08356,0.6953,-0.106
1.593,1.027,0.6265,-0.02605
-0.84,-0.2544,-0.6577,-0.10767
-0.3591,-0.5815,-0.3755,-0.1076
0.8247,-0.1243,0.489,-0.10297
-1.307,0.3823,0.4336,-0.0917
0.2136,-0.554,-1.684,-0.1064
1.34,0.4875,1.491,-0.08026
-1.699,1.177,1.449,-0.00949
0.1691,-0.535,-0.785,-0.1064
0.2473,-0.7144,-0.05527,-0.10626
0.7915,-0.2527,-0.6885,-0.10443
-1.313,0.4524,-0.2136,-0.08795
-1.4,0.5596,0.413,-0.0808
0.521,-0.4258,-0.41,-0.1058
0.2861,-0.6035,-0.7783,-0.10626
0.2377,-0.5854,-1.057,-0.10645
0.338,-0.558,-0.5474,-0.10626
-0.7324,-0.2537,-0.816,-0.10736
0.2186,-0.583,0.1411,-0.1064
0.282,-0.556,-0.847,-0.10626
-0.768,-0.3022,0.74,-0.108
1.923,1.744,1.25,0.1248
0.4707,-0.5005,-0.2825,-0.10583
-1.266,0.367,1.223,-0.0925
0.661,-0.3574,0.1307,-0.10516
-1.04,0.03738,1.006,-0.1038
0.7974,-0.098,1.298,-0.1026
1.185,0.338,0.947,-0.0889
-0.8794,-0.1853,0.706,-0.1072
0.981,0.06976,0.527,-0.0989
0.407,-0.5366,0.2925,-0.106
0.834,-0.2722,-0.4546,-0.1044
1.954,1.797,2.275,0.1407
-0.2793,-0.6885,-1.288,-0.1074
-0.8096,-0.259,-0.957,-0.10767
-0.951,-0.08624,0.4717,-0.106
-0.874,-0.0869,-0.10004,-0.10565
-0.1039,-0.6123,-0.3894,-0.1072
0.3323,-0.564,-1.274,-0.10626
0.265,-0.5376,-1.04,-0.1062
0.839,-0.2754,-1.315,-0.1044
-0.00995,-0.621,-1.333,-0.1069
1.491,0.864,-0.747,-0.04678
-0.2993,-0.6616,-2.275,-0.1075
2.812,4.53,1.546,2.236
0.629,-0.3457,0.3992,-0.10516
-0.917,-0.1476,0.5786,-0.1068
-1.141,0.191,0.02396,-0.0995
0.4795,-0.3552,-0.2136,-0.1056
-0.2566,-0.5894,-0.9023,-0.10736
0.7207,-0.2686,-0.785,-0.10455
0.47,-0.5024,0.4512,-0.1058
-0.0994,-0.6733,-0.5854,-0.1069
-0.9062,-0.09534,0.21,-0.106
-1.603,0.906,0.9883,-0.04822
-0.489,-0.492,-0.4307,-0.1078
0.8696,-0.1516,-1.171,-0.1032
0.1997,-0.5767,-1.033,-0.10626
-1.322,0.455,0.382,-0.08765
0.1571,-0.5586,-1.501,-0.10657
0.3782,-0.557,-0.9883,-0.106
-0.945,-0.10815,1.615,-0.1064
0.1367,-0.6675,-0.73,-0.1066
0.03717,-0.654,-1.536,-0.10675
-1.215,0.288,1.181,-0.09607
0.3496,-0.506,0.3647,-0.1062
0.561,-0.4639,0.1617,-0.1056
1.105,0.2213,0.7715,-0.09393
1.075,0.2031,0.258,-0.0947
-1.46,0.6973,1.429,-0.0697
-1.001,0.0711,0.8677,-0.10297
0.5137,-0.4902,0.06183,-0.10583
0.512,-0.5156,-0.2032,-0.10565
0.5137,-0.542,-0.0001421,-0.10583
3.994,9.69,0.63,18.55
0.572,-0.3743,0.6987,-0.10535
1.161,0.2537,0.8916,-0.0926
0.971,0.00942,1.9795,-0.10034
0.656,-0.3987,-0.785,-0.10516
-0.352,-0.438,0.8125,-0.1075
0.7676,-0.2288,0.258,-0.1041
-0.829,-0.2153,-0.3135,-0.10724
-0.2703,-0.557,-1.129,-0.10736
-0.5293,-0.4458,-0.661,-0.10767
0.06183,-0.6167,-0.6987,-0.10675
2.389,3.021,1.381,0.7275
-1.971,1.797,0.6025,0.1328
0.692,-0.2106,0.1376,-0.1042
-1.704,1.23,2.504,-0.000342
-0.5156,-0.397,0.9263,-0.1078
1.112,0.1587,0.985,-0.0964
0.0435,-0.6816,-1.209,-0.1066
-1.147,0.1621,0.764,-0.1007
-0.769,-0.2773,0.444,-0.1076
0.685,-0.2578,-0.6646,-0.1046
-0.785,-0.3528,-0.355,-0.10803
0.2021,-0.5215,-1.849,-0.1064
0.02399,-0.6396,-0.799,-0.10675
-0.7026,-0.3623,0.258,-0.108
2.21,2.484,0.668,0.4126
0.637,-0.4414,0.6885,-0.1054
-2.137,2.24,0.1445,0.2913
0.1708,-0.6055,-1.99,-0.1064
-0.7134,-0.3975,-0.1378,-0.10803
0.865,-0.1987,0.9194,-0.1037
-0.8496,-0.217,1.333,-0.10724
-0.1432,-0.5376,-1.047,-0.10706
0.503,-0.4707,0.2512,-0.1058
0.8794,-0.1937,0.1617,-0.10376
-1.274,0.3481,0.692,-0.0933
-0.372,-0.5703,-0.2101,-0.1076
-0.5186,-0.6167,-0.537,-0.108
-0.7046,-0.3413,-1.257,-0.1078
1.817,1.506,2.041,0.0629
0.399,-0.484,0.4233,-0.106
-1.338,0.5596,0.458,-0.0807
0.9336,0.00639,0.792,-0.10046
2.19,2.46,1.36,0.4001
1.053,0.04514,0.7437,-0.09924
-1.607,1.093,0.5957,-0.02274
-0.5283,-0.4683,-0.978,-0.108
1.297,0.4753,0.854,-0.08105
-0.761,-0.2888,0.8125,-0.10767
0.4395,-0.4868,-0.1792,-0.10583
0.784,-0.2264,-0.1378,-0.1041
-0.9897,-0.06976,0.95,-0.1058
-0.0856,-0.659,-3.158,-0.10706
-3.404,6.613,1.821,6.35
-1.092,0.063,-0.644,-0.1034
-0.2869,-0.626,-1.288,-0.1074
-1.324,0.447,0.0687,-0.0881
1.679,1.192,0.07904,-8.06e-05
-1.514,0.856,1.78,-0.0538
-0.4822,-0.6367,-1.397,-0.10785
0.11285,-0.5645,-0.572,-0.10657
1.4795,0.864,0.9297,-0.04678
-1.5205,0.682,1.2705,-0.0713
1.189,0.2827,0.826,-0.0914
-0.01284,-0.6523,-2.031,-0.1069
-1.047,-0.04114,1.153,-0.1055
0.4585,-0.526,-1.033,-0.10583
0.1841,-0.663,-2.266,-0.10645
-0.649,-0.2937,-0.3308,-0.1074
0.0493,-0.581,0.1858,-0.1068
-0.425,-0.4648,0.10657,-0.10767
0.0949,-0.587,-1.14,-0.1066
0.667,-0.3892,-0.5166,-0.10535
1.63,1.075,0.7573,-0.01881
-1.314,0.4497,2.324,-0.088
2.2,2.441,1.277,0.3916
-2.059,2.033,1.312,0.2108
-0.1818,-0.63,-0.317,-0.10736
0.59,-0.4138,-0.1722,-0.1056
0.2695,-0.542,-0.923,-0.1064
-0.6724,-0.3425,-0.286,-0.10767
-0.2406,-0.622,-1.067,-0.10736
-0.5376,-0.4053,-0.3445,-0.1075
-0.6377,-0.4495,0.0687,-0.10803
0.8623,-0.1031,0.389,-0.10254
0.3486,-0.5146,-0.131,-0.106
-0.7456,-0.3179,-0.1412,-0.10767
0.9146,-0.05795,0.482,-0.1017
0.297,-0.633,-2.465,-0.1062
0.824,-0.1294,0.957,-0.10297
0.633,-0.3694,0.0274,-0.1052
-0.8877,-0.186,0.909,-0.10706
-0.6074,-0.3623,-2.242,-0.1078
0.7554,-0.284,1.471,-0.1046
0.613,-0.4492,-0.544,-0.1055
-0.04532,-0.7134,-0.572,-0.107
0.0988,-0.5923,-1.6455,-0.1066
1.309,0.427,1.284,-0.0839
-0.6406,-0.3008,-0.785,-0.1074
0.547,-0.534,-1.153,-0.1058
-0.2343,-0.517,0.692,-0.1072
-0.2505,-0.59,-1.036,-0.1074
1.122,0.1951,0.8643,-0.095
0.837,-0.191,0.809,-0.10376
0.8247,-0.1556,0.613,-0.1035
1.338,0.541,1.002,-0.0767
-0.001599,-0.5757,-0.5957,-0.1068
0.688,-0.3062,1.636,-0.1048
-0.347,-0.559,-0.837,-0.1075
0.3147,-0.5796,-0.723,-0.10626
-0.1592,-0.6245,-0.286,-0.10706
0.07764,-0.6104,-0.1964,-0.1066
0.597,-0.477,0.3062,-0.1055
-0.8765,-0.2408,0.544,-0.1076
2.156,2.426,0.203,0.3833
-1.072,0.0738,1.746,-0.10297
-1.289,0.375,0.01707,-0.092
1.185,0.2935,0.995,-0.0909
0.802,-0.1826,-0.3206,-0.1036
0.6274,-0.392,-0.3274,-0.1054
0.632,-0.401,-0.07245,-0.1054
-0.0363,-0.623,-0.792,-0.1069
-0.959,-0.1284,0.6094,-0.10675
0.0555,-0.6084,0.172,-0.10675
-0.7295,-0.405,0.003302,-0.1081
0.993,0.0765,0.4233,-0.0988
-0.1769,-0.5938,-0.2378,-0.10736
-0.8843,-0.1497,1.112,-0.1066
-0.3584,-0.511,-1.505,-0.1076
0.407,-0.4292,0.0343,-0.10596
-0.6113,-0.3616,0.2993,-0.108
-0.881,-0.2617,-0.162,-0.1078
0.2305,-0.658,-0.1792,-0.10626
0.2319,-0.624,-1.129,-0.10626
-0.552,-0.4546,-0.372,-0.10785
-0.5146,-0.4531,-0.5786,-0.10785
0.2184,-0.6333,-1.047,-0.1064
-1.533,0.823,0.1858,-0.05756
-1.49,0.694,-0.07935,-0.07007
-0.7725,-0.3086,1.063,-0.1078
-0.2461,-0.6743,-1.805,-0.10724
0.3005,-0.6143,-1.6875,-0.10626
1.515,0.7993,-0.5645,-0.054
0.8706,-0.1759,-0.2274,-0.1035
-0.1903,-0.561,-1.735,-0.10724
-0.04333,-0.682,-0.07935,-0.107
-1.069,0.1964,1.422,-0.09924
-0.0428,-0.6074,-1.449,-0.1069
-0.3242,-0.566,0.768,-0.1075
0.313,-0.606,-0.2654,-0.10614
-0.8857,-0.1247,0.08936,-0.1064
0.518,-0.4768,-2.293,-0.1058
1.575,0.9946,2.592,-0.03058
-0.137,-0.4927,-1.56,-0.10724
0.3953,-0.527,-1.849,-0.10596
0.696,-0.245,0.8057,-0.1044
-0.4417,-0.558,0.9263,-0.1078
0.2101,-0.6006,0.03775,-0.1064
-0.010376,-0.5415,-0.341,-0.1068
0.0783,-0.659,-0.73,-0.1068
-0.829,-0.1271,0.916,-0.1064
0.002045,-0.596,-0.3894,-0.1068
0.4958,-0.4912,-0.3755,-0.10583
1.489,0.8516,1.036,-0.0482
0.977,0.05222,0.527,-0.0995
2.219,2.598,0.4785,0.4702
-0.8237,-0.308,-0.2585,-0.108
0.886,-0.1455,-0.9126,-0.1032
0.1676,-0.6226,-1.088,-0.10645
2.258,2.672,0.3096,0.5103
-0.866,-0.1503,-0.5063,-0.10675
-0.899,-0.1375,0.4233,-0.10657
-0.6484,-0.4546,0.52,-0.108
-2.238,2.498,1.656,0.4102
-0.572,-0.4106,-1.439,-0.1078
-0.815,-0.2065,-0.5337,-0.1072
0.1333,-0.5615,-0.1412,-0.10657
0.333,-0.5093,-1.325,-0.10614
1.933,1.819,0.847,0.1473
0.9673,-0.01349,0.8745,-0.1009
-0.6245,-0.4895,-1.25,-0.10803
-0.96,-0.0539,0.5063,-0.1055
0.4895,-0.4556,-1.405,-0.10596
-1.4,0.584,0.482,-0.07904
1.886,1.614,1.2295,0.08984
1.207,0.2705,-0.3584,-0.0921
-0.5127,-0.427,-0.06903,-0.1078
-1.81,1.39,0.985,0.03006
1.388,0.667,1.318,-0.0666
-0.143,-0.6226,-0.861,-0.1072
1.268,0.4255,1.814,-0.0842
